filename,optimal,optimizerOnly,topDown,bottomUp,euclidean,horizontal,hop,topDownPlus,bottomUpPlus,euclideanPlus,horizontalPlus,hopPlus
cluster-n55-c7-r9-s-2544258361427576470.json,178,182,335,180,182,251,225,180,178,178,182,178
cluster-n60-c8-r0-s-5009038017218373961.json,217,217,423,217,220,255,264,217,217,217,217,217
cluster-n60-c8-r1-s-225428140125034524.json,324,325,710,325,324,639,373,324,324,324,324,324
cluster-n60-c8-r2-s-7272716755647863764.json,326,326,407,337,339,386,367,326,326,326,343,344
cluster-n60-c8-r3-s8379951756649610469.json,285,364,399,311,317,418,390,287,285,285,285,287
cluster-n60-c8-r4-s-674362561287863598.json,283,283,371,286,288,362,329,283,283,283,283,283
cluster-n60-c8-r5-s3216824631405038100.json,188,188,233,189,191,227,350,209,188,188,210,188
cluster-n60-c8-r6-s-7680732278274824543.json,489,493,784,494,499,770,546,493,491,497,492,498
cluster-n60-c8-r7-s-5063455817159179608.json,548,560,604,561,553,575,661,559,559,548,549,552
cluster-n60-c8-r8-s-3993173920434438202.json,432,445,764,440,450,536,483,433,433,445,445,446
cluster-n60-c8-r9-s-3236072813650037502.json,161,162,228,162,163,213,188,162,161,161,162,162
cluster-n65-c8-r0-s-5070179922005490474.json,357,358,474,359,359,405,427,358,357,357,357,357
cluster-n65-c8-r1-s4813164642294574714.json,431,433,525,433,471,504,521,431,431,466,466,433
cluster-n65-c8-r2-s-5409510847276325242.json,306,306,776,306,308,466,353,306,306,306,306,307
cluster-n65-c8-r3-s7353601207593843829.json,236,236,288,236,236,257,259,236,236,236,237,236
cluster-n65-c8-r4-s-6249096617982736636.json,213,214,340,221,226,259,238,215,213,215,215,215
cluster-n65-c8-r5-s1321515393856809438.json,238,238,473,241,244,306,261,238,238,238,238,238
cluster-n65-c8-r6-s-208360137224181846.json,200,204,267,201,201,220,217,200,200,200,200,201
cluster-n65-c8-r7-s1132486012048478692.json,216,216,284,216,217,381,266,216,216,216,216,216
cluster-n65-c8-r8-s5533806673875634718.json,333,335,387,335,343,372,421,335,335,335,336,345
cluster-n65-c8-r9-s-6080198892145732438.json,230,233,298,235,235,308,300,233,230,230,230,231
cluster-n70-c9-r0-s-5071832409517141899.json,240,241,283,242,245,274,276,240,240,242,240,242
cluster-n70-c9-r1-s7940706736296736590.json,563,563,647,568,576,616,599,565,563,563,568,567
cluster-n70-c9-r2-s5110619734712364861.json,236,237,762,236,238,315,316,237,236,236,236,236
cluster-n70-c9-r3-s3337376797510278480.json,246,249,286,249,249,296,337,246,246,247,246,246
cluster-n70-c9-r4-s580084000067659775.json,224,225,426,225,230,273,271,224,224,224,225,224
cluster-n70-c9-r5-s-4712436989097447003.json,351,486,610,355,354,544,509,352,352,352,351,352
cluster-n70-c9-r6-s-7983374542736139813.json,241,241,280,241,246,277,286,241,241,241,241,241
cluster-n70-c9-r7-s302822594908598640.json,441,442,525,447,447,491,518,442,442,441,442,443
cluster-n70-c9-r8-s6788413938210334227.json,621,621,693,636,638,703,686,621,621,621,621,621
cluster-n70-c9-r9-s-6157067166046550541.json,478,481,636,482,484,538,573,478,479,479,479,479
cluster-n75-c9-r0-s-5080094825600562539.json,467,467,642,506,507,675,602,467,469,467,467,467
cluster-n75-c9-r1-s5131673098238255984.json,404,406,536,404,412,544,522,404,404,405,404,404
cluster-n75-c9-r2-s2371040414937225932.json,396,397,766,404,416,500,526,400,400,404,401,396
cluster-n75-c9-r3-s1702998825096970644.json,610,610,799,631,724,892,809,612,610,711,610,711
cluster-n75-c9-r4-s-2167501044214559517.json,277,278,375,282,289,330,326,278,278,281,278,278
cluster-n75-c9-r5-s2011289256435275913.json,351,352,923,360,366,430,590,353,354,352,353,354
cluster-n75-c9-r6-s8481785646537757903.json,272,272,490,274,276,462,308,272,272,272,272,272
cluster-n75-c9-r7-s-3845494477905899732.json,637,637,704,638,653,752,714,637,637,637,637,638
cluster-n75-c9-r8-s-5385293818120687143.json,667,669,732,671,672,761,715,669,667,667,667,667
cluster-n75-c9-r9-s-6541408526960706460.json,309,311,469,311,311,418,344,313,309,309,311,309
cluster-n80-c10-r0-s-5042087698731925706.json,595,595,775,597,601,710,707,595,595,595,595,595
cluster-n80-c10-r1-s6985181381350594668.json,564,564,657,565,569,642,655,564,564,564,564,564
cluster-n80-c10-r2-s215710034666164842.json,535,535,875,537,548,581,670,535,535,535,535,537
cluster-n80-c10-r3-s1842439866996379125.json,723,759,881,749,766,847,839,760,746,723,723,746
cluster-n80-c10-r4-s6782041339587778147.json,659,659,916,666,663,780,723,659,659,659,664,659
cluster-n80-c10-r5-s-6781758559652977244.json,399,467,619,406,468,607,482,399,399,399,399,400
cluster-n80-c10-r6-s2839676257692111471.json,676,924,1166,679,682,779,774,925,676,676,684,681
cluster-n80-c10-r7-s-3209980021822719592.json,555,555,763,557,562,675,620,556,555,555,556,555
cluster-n80-c10-r8-s2652227271075163873.json,884,884,959,886,887,944,1173,884,884,884,884,885
cluster-n80-c10-r9-s-4773438261601628476.json,325,329,391,330,329,377,384,328,325,325,330,329
cluster-n85-c10-r0-s-5050350114815346346.json,649,649,748,653,659,733,770,652,649,649,652,649
cluster-n85-c10-r1-s4176147743292114062.json,337,337,1170,340,476,531,411,337,337,337,337,337
cluster-n85-c10-r2-s-2523869289403941382.json,614,614,740,615,614,678,732,615,614,614,614,614
cluster-n85-c10-r3-s208061894583071289.json,442,443,761,454,449,599,687,455,445,445,445,442
cluster-n85-c10-r4-s4034456295305558855.json,677,678,1469,677,683,1202,779,678,677,677,678,677
cluster-n85-c10-r5-s-58032318415221624.json,513,515,763,514,514,562,570,515,513,513,513,515
cluster-n85-c10-r6-s858092368961490274.json,930,930,1041,934,1014,1023,1034,931,931,969,931,931
